scenario_id,controller_id,valuation_price_vnd_per_kwh,inventory_adjusted_operating_cost_vnd,inventory_adjusted_rank
cloudy,rule_based,1100.0,438391236.7901661,1.0
cloudy,greenmpc_conservative,1100.0,442562218.3199458,2.0
cloudy,deterministic_mpc,1100.0,445533523.078805,3.0
combined_stress,rule_based,1100.0,461423417.0062092,1.0
combined_stress,greenmpc_conservative,1100.0,466084363.55756295,2.0
combined_stress,deterministic_mpc,1100.0,467509912.6772851,3.0
normal,rule_based,1100.0,424881530.22266614,1.0
normal,greenmpc_conservative,1100.0,425229169.9528165,2.0
normal,deterministic_mpc,1100.0,434087804.7026416,3.0
production_shift,rule_based,1100.0,425186473.01899445,1.0
production_shift,greenmpc_conservative,1100.0,425578962.8721992,2.0
production_shift,deterministic_mpc,1100.0,434418741.604484,3.0
cloudy,rule_based,1500.0,438871236.7901661,1.0
cloudy,greenmpc_conservative,1500.0,442082218.3199458,2.0
cloudy,deterministic_mpc,1500.0,445627254.39442855,3.0
combined_stress,rule_based,1500.0,461903417.0062092,1.0
combined_stress,greenmpc_conservative,1500.0,465604363.55756295,2.0
combined_stress,deterministic_mpc,1500.0,467605399.064501,3.0
normal,greenmpc_conservative,1500.0,424749169.9528165,1.0
normal,rule_based,1500.0,425361530.22266614,2.0
normal,deterministic_mpc,1500.0,434181059.3266945,3.0
production_shift,greenmpc_conservative,1500.0,425098962.8721992,1.0
production_shift,rule_based,1500.0,425666473.01899445,2.0
production_shift,deterministic_mpc,1500.0,434511996.2285369,3.0
cloudy,rule_based,2000.0,439471236.7901661,1.0
cloudy,greenmpc_conservative,2000.0,441482218.3199458,2.0
cloudy,deterministic_mpc,2000.0,445744418.5389579,3.0
combined_stress,rule_based,2000.0,462503417.0062092,1.0
combined_stress,greenmpc_conservative,2000.0,465004363.55756295,2.0
combined_stress,deterministic_mpc,2000.0,467724757.0485208,3.0
normal,greenmpc_conservative,2000.0,424149169.9528165,1.0
normal,rule_based,2000.0,425961530.22266614,2.0
normal,deterministic_mpc,2000.0,434297627.6067606,3.0
production_shift,greenmpc_conservative,2000.0,424498962.8721992,1.0
production_shift,rule_based,2000.0,426266473.01899445,2.0
production_shift,deterministic_mpc,2000.0,434628564.50860304,3.0
cloudy,rule_based,2500.0,440071236.7901661,1.0
cloudy,greenmpc_conservative,2500.0,440882218.3199458,2.0
cloudy,deterministic_mpc,2500.0,445861582.68348724,3.0
combined_stress,rule_based,2500.0,463103417.0062092,1.0
combined_stress,greenmpc_conservative,2500.0,464404363.55756295,2.0
combined_stress,deterministic_mpc,2500.0,467844115.0325407,3.0
normal,greenmpc_conservative,2500.0,423549169.9528165,1.0
normal,rule_based,2500.0,426561530.22266614,2.0
normal,deterministic_mpc,2500.0,434414195.88682675,3.0
production_shift,greenmpc_conservative,2500.0,423898962.8721992,1.0
production_shift,rule_based,2500.0,426866473.01899445,2.0
production_shift,deterministic_mpc,2500.0,434745132.78866917,3.0
